month,revenue,customer_count,profit,churn_rate,marketing_spend,conversion_rate,aov,cac,clv,market_growth_rate,competitor_growth
2022-01-01,80000,1000,10000,0.05,5000,0.0349816047538945,76.48559873736288,52.80261676059678,80.07867184344929,0.03227328293819941,0.07111602327460939
2022-02-01,83000,1050,11000,0.048,5100,0.05802857225639664,102.81407691144109,31.091267331531622,122.69808880922312,0.022754101835854964,0.08441369498852401
2022-03-01,85000,1100,12000,0.045,5200,0.049279757672456195,55.97390257266878,78.17507766587352,283.03849976075185,-0.017458087325590482,-0.002299478754220416
2022-04-01,88000,1150,11500,0.046,5500,0.04394633936788146,81.13875507308893,66.50796940166687,245.2163133794977,-0.009210857300669555,-0.03349221132084849
2022-05-01,92000,1200,13000,0.042,5800,0.02624074561769746,87.39316550896339,76.36993649385136,291.26050692876623,-0.016857081431326575,-0.015809725618708748
2022-06-01,95000,1260,14000,0.04,6000,0.026239780813448105,43.71603301759982,73.68964102565893,126.90343295695354,0.04364104112637804,0.014066168293938447
2022-07-01,98000,1310,13500,0.041,6200,0.02232334448672798,88.60358815211507,55.87399872866511,143.89773907585575,0.011435598107632668,0.07270221488837399
2022-08-01,102000,1380,15000,0.038,6500,0.0546470458309974,53.64192989498332,75.312454101387,139.14783083385214,0.030857069116470282,0.07910958748845152
2022-09-01,105000,1430,16000,0.036,6800,0.04404460046972835,45.20412743882236,25.30955012311517,103.498603440565,0.0707566473926093,-0.0489571804203214
2022-10-01,108000,1490,15500,0.037,7000,0.048322903111841814,115.91084298026666,31.758971745148713,107.02438041388466,0.004929222914887496,0.026612095386634865
2022-11-01,112000,1550,17000,0.035,7200,0.020823379771832098,117.25056264596475,22.713637334632285,56.61814919569607,0.021038292303562977,0.012611650472316854
2022-12-01,115000,1600,18000,0.034,7500,0.05879639408647977,104.67178784931689,39.519819845795865,66.81517342769273,0.055555113854304866,-0.01668382842939046
2023-01-01,118000,1650,17500,0.035,7800,0.05329770563201687,64.36910153386965,43.320637381368925,105.39681324523463,0.0028798165491622472,-0.03202019489994758
2023-02-01,122000,1720,19000,0.033,8000,0.028493564427131045,47.81376912051071,36.28094190643375,89.81528450583127,-0.0123020090171207,0.0006422757105441976
2023-03-01,125000,1780,20000,0.032,8200,0.027272998688284023,94.73864212097254,69.72425054911577,257.2001077655517,0.008975145291376805,0.0914364555868779
2023-04-01,121000,1730,16000,0.045,8500,0.027336180394137353,75.21219949916811,41.40519960161536,141.30238247931433,-0.0038778712745995564,-0.0015195601968867115
2023-05-01,126000,1800,18500,0.042,8800,0.03216968971838151,49.76305878758231,36.85607058124285,153.38163225477766,0.07296976523425731,0.027818593261504918
2023-06-01,130000,1870,21000,0.038,9000,0.040990257265289515,79.61415280890162,52.56176498949491,153.3039972469253,0.0608120379564417,0.05545284383427669
2023-07-01,135000,1950,22000,0.035,9200,0.037277800745684625,42.75108168921747,28.45545349848576,52.89250575968008,0.043340375651042345,0.004544440356894101
2023-08-01,140000,2050,24000,0.03,9500,0.03164916560792168,112.74563216630257,68.13181884524238,247.9817221740352,0.06714605901877177,0.09576731240814411
2023-09-01,145000,2150,26000,0.028,9800,0.04447411578889518,60.70239852800135,24.473038620786248,92.5657235619336,0.060367207689911453,0.09436709424131672
2023-10-01,142000,2100,22000,0.035,10000,0.025579754426081673,93.00178274831856,79.21321619603104,252.20154028497134,-0.0013429941113964165,-0.012232655626195375
2023-11-01,150000,2250,28000,0.025,10200,0.03168578594140872,64.93688608715289,66.33468615779944,252.9276269974476,0.06925589984899778,0.024587275883857826
2023-12-01,158000,2400,34000,0.02,10500,0.03465447373174767,81.60544169422487,31.922940892050345,95.1746342445611,0.03393422419156507,-0.004868253527484545
